escenario,cindex_train,cindex_test,auc1_train,auc1_test,auc2_train,auc2_test,mtry,min_node,num_trees,mu,gamma,stepno,penalty,dropout,lr,weight_decay,batch_size,lambda,modelo,escenario_n,seleccion,sufijo,integracion,exp_id
cox_escenario2_rfb,0.8425987958908081,0.5654664635658264,0.955350285452778,0.5425619266211698,0.9275251053384865,0.6275527372415574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-4,cox,2,rf,b,NA,EXP3
cox_escenario4_rfb,0.8734092712402344,0.5163666009902954,0.9479958814852771,0.4720488679559912,0.9424411438868379,0.5478795062418664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-4,cox,4,rf,b,Dos_etapas,EXP7
cox_escenario5_rfb,0.9025452136993408,0.5965630412101746,0.9566632345710643,0.5428018844811405,0.9665543466466611,0.6669812236513615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-4,cox,5,rf,b,Dos_etapas,EXP11
rsf_escenario4_rfc,0.9685197472572327,0.6350245475769043,0.9900760447953946,0.627167850488202,0.9905598702454917,0.7067438378474021,3,5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,rsf,4,rf,c,Apilada,EXP8
rsf_escenario5_rfc,0.9742130041122437,0.6448445320129395,0.9912724580738722,0.6373075905717207,0.9945799655818305,0.722383738616606,5,7,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,rsf,5,rf,c,Apilada,EXP12
svm_escenario4_rfc,0.6795043349266052,0.5810147523880005,0.8985827644858692,0.5670371846171048,0.7115936310471359,0.6344475514249858,NA,NA,NA,1.075,2.05,NA,NA,NA,NA,NA,NA,NA,svm,4,rf,c,Apilada,EXP8
svm_escenario5_rfc,0.6801741719245911,0.5826513767242432,0.8985827644858692,0.5671117553146283,0.7136273263349308,0.6345371573186603,NA,NA,NA,1.075,2.05,NA,NA,NA,NA,NA,NA,NA,svm,5,rf,c,Apilada,EXP12
coxboost_escenario4_rfc,0.8596785068511963,0.591653048992157,0.9739105388627823,0.5960012622122612,0.9375854626607544,0.6627066518473462,NA,NA,NA,NA,NA,125,100,NA,NA,NA,NA,NA,coxboost,4,rf,c,Apilada,EXP8
coxboost_escenario5_rfc,0.8924983143806458,0.6743044257164001,0.9827309184648952,0.6719887286480132,0.9583530221937445,0.770823726881418,NA,NA,NA,NA,NA,50,100,NA,NA,NA,NA,NA,coxboost,5,rf,c,Apilada,EXP12
deepsurv_escenario4_rfc,0.5676490068435669,0.6407528519630432,0.560053240898369,0.6230044782376642,0.5789260796817844,0.6455410390218882,NA,NA,NA,NA,NA,NA,NA,0.5,0.005000000000000002,1.0000000000000009e-4,8,NA,deepsurv,4,rf,c,Apilada,EXP8
deepsurv_escenario5_rfc,0.52243804931640625,0.591653048992157,0.46455996393342464,0.612880015169221,0.513336999597861,0.5974656658938089,NA,NA,NA,NA,NA,NA,NA,0.425,0.001880301546543199,0.010000000000000004,12,NA,deepsurv,5,rf,c,Apilada,EXP12
cox_escenario4_rfc,0.8425987958908081,0.5654664635658264,0.955350285452778,0.5425619266211698,0.9275251053384865,0.6275527372415574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250075,cox,4,rf,c,Apilada,EXP8
cox_escenario5_rfc,0.8955124020576477,0.6685761213302612,0.98023996488898,0.6502676451266483,0.9630636280231484,0.7570631476756516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-4,cox,5,rf,c,Apilada,EXP12
